MlDomainName,MlIntentName,Utterance
Alpha1,FAFSA_Application_Form_Question,Can this question be clarified? 
Alpha1,FAFSA_Application_Form_Question,What’s another way to ask this?
Alpha1,FAFSA_Application_Form_Question, Can you simplify the question ?
Alpha1,FAFSA_Application_Form_Question,What does this question mena? 
Alpha1,FAFSA_Application_Form_Question,What does question mean? 
Alpha1,FAFSA_Application_Form_Question,What does question mean by? 
Alpha1,FAFSA_Application_Form_Question,Can you explain question number
Alpha1,FAFSA_Application_Form_Question,What does question # mean
Alpha1,FAFSA_Application_Form_Question,What does question number mean? 
Alpha1,FAFSA_Application_Form_Question,I don't understand question 
Alpha1,FAFSA_Application_Form_Question,don't understand question number
Alpha1,FAFSA_Application_Form_Question,What is question number asking for? 
Alpha1,FAFSA_Application_Form_Question,Dont understand question
Alpha1,FAFSA_Application_Form_Question,Need clarification on question?
Alpha1,FAFSA_Application_Form_Question,What does this question mean?
Alpha1,FAFSA_Application_Form_Question,  What is this question asking?
Alpha1,FAFSA_Application_Form_Question,I don't understand this question
Alpha1,FAFSA_Application_Form_Question,I need help with a question
Alpha1,FAFSA_Application_Form_Question,  More information about this question
Alpha1,FAFSA_Application_Form_Question,FAFSA question clarification
Alpha1,FAFSA_Application_Form_Question,When FAFSA is asking
Alpha1,FAFSA_Application_Form_Question,Please clarify question
Alpha1,FAFSA_Application_Form_Question,I don't get this question
Alpha1,FAFSA_Application_Form_Question,Can you explain this question?
Alpha1,FAFSA_Application_Form_Question,How do I answer this question
Alpha1,FAFSA_Application_Form_Question,What is answer to this question
Alpha1,FAFSA_Application_Form_Question,can you please explain this question?
Alpha1,FAFSA_Application_Form_Question,can you elaborate on this question?
Alpha1,FAFSA_Application_Form_Question,help with question
Alpha1,FAFSA_Application_Form_Question,help with application question
Alpha1,FAFSA_Application_Form_Question,I don't understand this question on the application
Alpha1,FAFSA_Application_Form_Question,What do I put in the box on question 
Alpha1,FAFSA_Application_Form_Question,Where do I find answers to question
Alpha1,FAFSA_Application_Form_Question,question clarification
Alpha1,FAFSA_Application_Form_Question,understanding question
Alpha1,FAFSA_Application_Form_Question,Can I get help on section? 
Alpha1,FAFSA_Application_Form_Question,Can I skip this section?
Alpha1,FAFSA_Application_Form_Question,How do I fill out this question
Alpha1,FAFSA_Application_Form_Question,How do I fill out this
Alpha1,FAFSA_Application_Form_Question,Need help filling out a question
Alpha1,FAFSA_Application_Form_Question,Need help with application 
Alpha1,FAFSA_Application_Form_Question, Application help
Alpha1,FAFSA_Application_Form_Question,fafsa question help
Alpha1,FAFSA_Application_Form_Question,I have a question
Alpha1,FAFSA_Application_Form_Question,Question on FAFSA application
Alpha1,FAFSA_Application_Form_Question,What is this question asking for?
Alpha1,FAFSA_Application_Form_Question,Can I get more information on question
Alpha1,FAFSA_Application_Form_Question,Can I get more information on application
Alpha1,FAFSA_Application_Form_Question,What is this question
Alpha1,FAFSA_Application_Form_Question,Can you help me with question
Alpha1,FAFSA_Application_Form_Question,How do I fill this out?
Alpha1,FAFSA_Application_Form_Question,What do I need to do in this question?
Alpha1,FAFSA_Application_Form_Question,How do I answer this question
Alpha1,FAFSA_Application_Form_Question,How do I answer
Alpha1,FAFSA_Application_Form_Question,Answer to question number
Alpha1,FAFSA_Application_Form_Question,Help with question number
Alpha1,FAFSA_Application_Form_Question,Can you help me fill out this?
Alpha1,FAFSA_Application_Form_Question,I'm not sure what to write here
Alpha1,FAFSA_Application_Form_Question,What do you need me to do here on this form
Alpha1,FAFSA_Application_Form_Question,What should I fill in here?
Alpha1,FAFSA_Application_Form_Question,More information on question
Alpha1,FAFSA_Application_Form_Question,Common responses for question
Alpha1,FAFSA_Application_Form_Question,"Help me, how do I fill this out"
Alpha1,FAFSA_Application_Form_Question,I don't know what to write here
Alpha1,FAFSA_Application_Form_Question,Where do I find information to fill out this question? 
Alpha1,FAFSA_Application_Form_Question,guidance on question
Alpha1,FAFSA_Application_Form_Question,What exactly are you looking for for this question?
